seed,system,step,corrections,acc_novel,acc_original
0,lora_deberta,0,0,0.000000,0.677500
0,lora_deberta,50,50,0.000000,0.590000
0,lora_deberta,100,96,0.210000,0.325000
0,lora_deberta,150,132,0.355000,0.175000
0,lora_deberta,200,159,0.382500,0.140000
0,lora_deberta,250,186,0.415000,0.107500
0,lora_deberta,300,214,0.545000,0.092500
0,lora_deberta,350,237,0.400000,0.087500
0,lora_deberta,400,257,0.510000,0.095000
0,lora_deberta,450,279,0.515000,0.090000
0,lora_deberta,500,296,0.672500,0.095000
0,lora_deberta,550,310,0.597500,0.090000
0,lora_deberta,600,328,0.607500,0.092500
0,lora_deberta,650,348,0.595000,0.082500
0,lora_deberta,700,366,0.627500,0.087500
0,lora_deberta,750,380,0.715000,0.080000
0,lora_deberta,800,392,0.707500,0.092500
0,lora_deberta,850,405,0.780000,0.097500
0,lora_deberta,900,415,0.775000,0.100000
0,lora_deberta,950,424,0.725000,0.097500
0,lora_deberta,1000,442,0.625000,0.092500
0,lora_deberta,1050,454,0.742500,0.097500
0,lora_deberta,1100,467,0.765000,0.092500
0,lora_deberta,1150,474,0.820000,0.095000
0,lora_deberta,1195,482,0.650000,0.097500
0,substrate,0,0,0.000000,0.947500
0,substrate,50,32,0.482500,0.947500
0,substrate,100,51,0.612500,0.947500
0,substrate,150,67,0.682500,0.947500
0,substrate,200,84,0.730000,0.947500
0,substrate,250,97,0.802500,0.947500
0,substrate,300,105,0.820000,0.947500
0,substrate,350,113,0.832500,0.947500
0,substrate,400,122,0.840000,0.947500
0,substrate,450,129,0.855000,0.947500
0,substrate,500,136,0.857500,0.947500
0,substrate,550,140,0.862500,0.947500
0,substrate,600,145,0.867500,0.947500
0,substrate,650,154,0.872500,0.947500
0,substrate,700,159,0.875000,0.947500
0,substrate,750,164,0.877500,0.947500
0,substrate,800,168,0.880000,0.947500
0,substrate,850,169,0.880000,0.947500
0,substrate,900,176,0.887500,0.947500
0,substrate,950,182,0.895000,0.947500
0,substrate,1000,185,0.895000,0.947500
0,substrate,1050,194,0.902500,0.947500
0,substrate,1100,198,0.902500,0.947500
0,substrate,1150,203,0.905000,0.947500
0,substrate,1195,208,0.905000,0.947500
1,lora_deberta,0,0,0.000000,0.685000
1,lora_deberta,50,50,0.000000,0.642500
1,lora_deberta,100,100,0.117500,0.510000
1,lora_deberta,150,134,0.535000,0.405000
1,lora_deberta,200,154,0.620000,0.312500
1,lora_deberta,250,173,0.680000,0.277500
1,lora_deberta,300,191,0.635000,0.245000
1,lora_deberta,350,204,0.570000,0.202500
1,lora_deberta,400,217,0.682500,0.202500
1,lora_deberta,450,232,0.740000,0.175000
1,lora_deberta,500,239,0.702500,0.157500
1,lora_deberta,550,250,0.850000,0.125000
1,lora_deberta,600,260,0.875000,0.107500
1,lora_deberta,650,264,0.882500,0.107500
1,lora_deberta,700,273,0.870000,0.120000
1,lora_deberta,750,285,0.847500,0.117500
1,lora_deberta,800,287,0.885000,0.110000
1,lora_deberta,850,291,0.900000,0.107500
1,lora_deberta,900,299,0.910000,0.105000
1,lora_deberta,950,308,0.920000,0.125000
1,lora_deberta,1000,315,0.882500,0.110000
1,lora_deberta,1050,319,0.885000,0.115000
1,lora_deberta,1100,324,0.810000,0.100000
1,lora_deberta,1150,330,0.802500,0.112500
1,lora_deberta,1200,336,0.875000,0.120000
1,lora_deberta,1248,338,0.842500,0.117500
1,substrate,0,0,0.000000,0.942500
1,substrate,50,32,0.490000,0.942500
1,substrate,100,52,0.732500,0.942500
1,substrate,150,63,0.782500,0.942500
1,substrate,200,74,0.797500,0.942500
1,substrate,250,89,0.822500,0.942500
1,substrate,300,99,0.827500,0.942500
1,substrate,350,114,0.865000,0.942500
1,substrate,400,119,0.870000,0.942500
1,substrate,450,129,0.872500,0.942500
1,substrate,500,138,0.875000,0.942500
1,substrate,550,143,0.890000,0.942500
1,substrate,600,150,0.897500,0.942500
1,substrate,650,154,0.900000,0.942500
1,substrate,700,159,0.900000,0.942500
1,substrate,750,165,0.910000,0.942500
1,substrate,800,169,0.910000,0.942500
1,substrate,850,172,0.912500,0.942500
1,substrate,900,177,0.917500,0.942500
1,substrate,950,181,0.925000,0.942500
1,substrate,1000,189,0.935000,0.942500
1,substrate,1050,191,0.935000,0.942500
1,substrate,1100,197,0.937500,0.942500
1,substrate,1150,204,0.937500,0.942500
1,substrate,1200,208,0.937500,0.942500
1,substrate,1248,211,0.937500,0.942500
2,lora_deberta,0,0,0.000000,0.757500
2,lora_deberta,50,50,0.010000,0.667500
2,lora_deberta,100,95,0.295000,0.412500
2,lora_deberta,150,127,0.307500,0.305000
2,lora_deberta,200,161,0.327500,0.255000
2,lora_deberta,250,186,0.442500,0.177500
2,lora_deberta,300,210,0.492500,0.172500
2,lora_deberta,350,227,0.647500,0.165000
2,lora_deberta,400,244,0.547500,0.147500
2,lora_deberta,450,260,0.647500,0.145000
2,lora_deberta,500,272,0.670000,0.150000
2,lora_deberta,550,290,0.655000,0.147500
2,lora_deberta,600,308,0.722500,0.157500
2,lora_deberta,650,322,0.692500,0.150000
2,lora_deberta,700,336,0.740000,0.145000
2,lora_deberta,750,352,0.677500,0.132500
2,lora_deberta,800,367,0.747500,0.142500
2,lora_deberta,850,377,0.775000,0.122500
2,lora_deberta,900,392,0.732500,0.087500
2,lora_deberta,950,407,0.710000,0.102500
2,lora_deberta,1000,425,0.772500,0.102500
2,lora_deberta,1050,438,0.787500,0.105000
2,lora_deberta,1100,453,0.787500,0.110000
2,lora_deberta,1150,462,0.800000,0.112500
2,lora_deberta,1200,471,0.832500,0.105000
2,lora_deberta,1250,480,0.832500,0.105000
2,lora_deberta,1300,489,0.790000,0.102500
2,lora_deberta,1350,494,0.820000,0.107500
2,lora_deberta,1400,510,0.722500,0.107500
2,lora_deberta,1450,522,0.802500,0.100000
2,lora_deberta,1500,526,0.737500,0.100000
2,lora_deberta,1517,529,0.820000,0.107500
2,substrate,0,0,0.000000,0.962500
2,substrate,50,41,0.317500,0.962500
2,substrate,100,66,0.457500,0.962500
2,substrate,150,95,0.572500,0.962500
2,substrate,200,118,0.612500,0.962500
2,substrate,250,138,0.665000,0.962500
2,substrate,300,157,0.687500,0.962500
2,substrate,350,173,0.730000,0.962500
2,substrate,400,181,0.747500,0.962500
2,substrate,450,196,0.757500,0.962500
2,substrate,500,207,0.762500,0.962500
2,substrate,550,219,0.772500,0.962500
2,substrate,600,227,0.775000,0.962500
2,substrate,650,243,0.787500,0.962500
2,substrate,700,252,0.805000,0.960000
2,substrate,750,261,0.812500,0.960000
2,substrate,800,271,0.817500,0.960000
2,substrate,850,287,0.832500,0.960000
2,substrate,900,297,0.837500,0.960000
2,substrate,950,302,0.840000,0.960000
2,substrate,1000,308,0.842500,0.960000
2,substrate,1050,315,0.852500,0.960000
2,substrate,1100,323,0.855000,0.960000
2,substrate,1150,329,0.860000,0.960000
2,substrate,1200,332,0.860000,0.960000
2,substrate,1250,342,0.862500,0.960000
2,substrate,1300,351,0.870000,0.960000
2,substrate,1350,354,0.870000,0.960000
2,substrate,1400,366,0.870000,0.960000
2,substrate,1450,373,0.872500,0.960000
2,substrate,1500,376,0.872500,0.960000
2,substrate,1517,377,0.872500,0.960000
